,Graph Type,Bid Type,Mechanism,Efficiency Ratio,Normalized Revenue
64,Schweimer22 Vegan,uniform,NSP,0.873823514906735,0.7515866721490685
65,Schweimer22 Vegan,uniform,IDM,0.9983612994778763,0.9211935652796326
66,Schweimer22 Vegan,uniform,STM,0.9616695444988066,0.9229429853471132
67,Schweimer22 Vegan,uniform,SCM,0.9616695444988066,0.9224672410240963
68,Schweimer22 Vegan,powerlaw,NSP,0.6200163814163009,0.4412272369838207
69,Schweimer22 Vegan,powerlaw,IDM,0.9959329349389469,0.914062047184696
70,Schweimer22 Vegan,powerlaw,STM,0.9433836001956879,0.9299448557019445
71,Schweimer22 Vegan,powerlaw,SCM,0.9433805931786446,0.9263672165544632
72,Schweimer22 Vegan,powerlaw2,NSP,0.027597475454639038,0.006143208818890779
73,Schweimer22 Vegan,powerlaw2,IDM,0.9950155902942954,0.46123710690878567
74,Schweimer22 Vegan,powerlaw2,STM,0.9181180861894067,0.4632119370348506
75,Schweimer22 Vegan,powerlaw2,SCM,0.9181180861894067,0.38174831327966885
76,Schweimer22 Vegan,powerlaw3,NSP,0.0961710377567174,0.053091651338843616
77,Schweimer22 Vegan,powerlaw3,IDM,0.995131448044606,0.6123799483706502
78,Schweimer22 Vegan,powerlaw3,STM,0.9179109541885916,0.6129648540310276
79,Schweimer22 Vegan,powerlaw3,SCM,0.9175254120199169,0.5477609187144108
